date,age,manner_of_death,gender,race,state,signs_of_mental_illness,threat_level,flee,body_camera
2015-01-02,53.0,shot,M,A,WA,True,attack,Not fleeing,False
2015-01-02,47.0,shot,M,W,OR,False,attack,Not fleeing,False
2015-01-03,23.0,shot and Tasered,M,H,KS,False,other,Not fleeing,False
2015-01-04,32.0,shot,M,W,CA,True,attack,Not fleeing,False
2015-01-04,39.0,shot,M,H,CO,False,attack,Not fleeing,False
2015-01-04,18.0,shot,M,W,OK,False,attack,Not fleeing,False
2015-01-05,22.0,shot,M,H,AZ,False,attack,Car,False
2015-01-06,35.0,shot,M,W,KS,False,attack,Not fleeing,False
2015-01-06,34.0,shot,F,W,IA,False,other,Not fleeing,True
2015-01-06,47.0,shot,M,B,PA,False,attack,Not fleeing,False
2015-01-06,25.0,shot and Tasered,M,W,CA,False,attack,Not fleeing,False
2015-01-07,31.0,shot,M,B,TX,False,attack,Not fleeing,False
2015-01-07,41.0,shot,M,B,OH,True,other,Not fleeing,False
2015-01-07,30.0,shot,M,W,IA,False,attack,Car,False
2015-01-07,37.0,shot,M,B,LA,False,attack,Foot,True
2015-01-08,28.0,shot,M,W,MT,False,undetermined,Not fleeing,False
2015-01-08,42.0,shot,M,W,UT,False,attack,Not fleeing,True
2015-01-08,36.0,shot,M,B,AR,False,attack,Not fleeing,False
2015-01-08,49.0,shot,M,W,UT,False,attack,Not fleeing,True
2015-01-09,71.0,shot,M,W,AR,False,attack,Not fleeing,False
2015-01-09,33.0,shot,M,H,TX,False,attack,Not fleeing,False
2015-01-11,39.0,shot,M,W,IL,True,attack,Not fleeing,False
2015-01-11,23.0,shot,M,H,CA,False,attack,Not fleeing,False
2015-01-11,29.0,shot and Tasered,M,H,NV,False,attack,Foot,False
2015-01-13,34.0,shot,M,W,NM,False,attack,Foot,True
2015-01-13,43.0,shot,M,W,TX,True,other,Not fleeing,False
2015-01-14,24.0,shot,M,B,MN,False,attack,Not fleeing,False
2015-01-14,29.0,shot,M,W,MO,False,attack,Not fleeing,False
2015-01-14,34.0,shot,M,B,VA,True,attack,Not fleeing,False
2015-01-14,75.0,shot,M,W,NJ,False,attack,Not fleeing,False
2015-01-14,68.0,shot,M,W,TX,False,attack,Not fleeing,False
2015-01-14,34.0,shot,M,W,UT,False,attack,Not fleeing,True
2015-01-15,27.0,shot,M,B,IN,False,attack,Foot,False
2015-01-15,39.0,shot,M,B,CO,False,attack,Not fleeing,False
2015-01-15,24.0,shot,M,W,MN,True,attack,Not fleeing,False
2015-01-15,36.0,shot,M,H,CA,True,other,Not fleeing,False
2015-01-15,33.0,shot,M,W,LA,False,attack,Not fleeing,False
2015-01-16,41.0,shot,M,W,TX,False,attack,Car,False
2015-01-16,48.0,shot and Tasered,M,O,CA,False,other,Not fleeing,False
2015-01-17,21.0,shot,M,B,OK,False,attack,Foot,True
2015-01-17,24.0,shot,M,H,CA,False,attack,Not fleeing,False
2015-01-17,27.0,shot,M,H,TX,False,attack,Not fleeing,False
2015-01-18,32.0,shot,M,W,AZ,True,attack,Not fleeing,False
2015-01-18,67.0,shot and Tasered,M,W,KY,True,attack,Not fleeing,False
2015-01-19,49.0,shot,M,W,MA,False,attack,Not fleeing,False
2015-01-20,42.0,shot,M,B,AZ,False,other,Car,False
2015-01-21,36.0,shot,M,W,CA,False,attack,Not fleeing,False
2015-01-21,36.0,shot,M,H,TX,False,attack,Foot,False
2015-01-21,19.0,shot,M,B,MO,False,attack,Not fleeing,False
2015-01-21,54.0,shot,M,W,NH,True,attack,Not fleeing,False
2015-01-22,25.0,shot,M,B,TX,False,attack,Car,False
2015-01-22,17.0,shot and Tasered,F,W,TX,True,other,Not fleeing,False
2015-01-23,29.0,shot,M,B,FL,False,other,Not fleeing,False
2015-01-23,56.0,shot,M,H,TX,False,other,Not fleeing,False
2015-01-23,61.0,shot,M,W,TX,True,attack,Not fleeing,False
2015-01-24,45.0,shot,M,W,ID,False,attack,Not fleeing,False
2015-01-24,26.0,shot,M,B,MD,True,other,Not fleeing,False
2015-01-24,40.0,shot,M,W,TX,False,attack,Not fleeing,False
2015-01-25,26.0,shot,M,H,CO,False,attack,Car,False
2015-01-25,59.0,shot,M,W,NJ,False,attack,Not fleeing,False
2015-01-26,17.0,shot,F,H,CO,False,other,Not fleeing,False
2015-01-26,68.0,shot,M,W,MN,True,attack,Not fleeing,False
2015-01-26,24.0,shot,M,H,TX,False,other,Car,False
2015-01-26,34.0,shot,M,H,CA,True,other,Not fleeing,False
2015-01-27,39.0,shot,F,W,NE,True,attack,Not fleeing,False
2015-01-27,26.0,shot,M,N,AZ,False,other,Not fleeing,False
2015-01-27,29.0,shot,M,W,AZ,False,attack,Not fleeing,False
2015-01-27,33.0,shot,M,B,OH,False,attack,Not fleeing,False
2015-01-28,45.0,shot,M,W,TX,False,attack,Not fleeing,False
2015-01-28,26.0,shot,M,W,TX,False,attack,Not fleeing,False
2015-01-28,35.0,shot and Tasered,M,A,CA,True,attack,Not fleeing,False
2015-01-29,31.0,shot,M,W,MI,True,attack,Not fleeing,False
2015-01-29,42.0,shot,M,W,OK,False,other,Foot,False
2015-01-30,48.0,shot,M,W,MT,False,attack,Foot,False
2015-01-31,31.0,shot,M,H,TX,False,attack,Not fleeing,False
2015-01-31,54.0,shot and Tasered,M,B,MD,True,other,Not fleeing,False
2015-02-02,42.0,shot,M,W,CA,True,attack,Not fleeing,False
2015-02-02,17.0,shot,M,W,MI,False,attack,Not fleeing,False
2015-02-02,59.0,shot and Tasered,M,W,PA,False,other,Foot,False
2015-02-03,23.0,shot,M,B,MO,False,attack,Foot,False
2015-02-03,38.0,shot,F,B,CA,False,attack,Car,False
2015-02-03,29.0,shot,M,B,CA,True,other,Not fleeing,False
2015-02-03,45.0,shot,M,W,GA,True,attack,Not fleeing,False
2015-02-04,28.0,shot,M,B,FL,False,attack,Not fleeing,False
2015-02-04,37.0,shot,M,H,FL,False,attack,Not fleeing,False
2015-02-04,28.0,shot,M,H,AZ,False,attack,Car,False
2015-02-04,28.0,shot,M,H,AZ,False,other,Not fleeing,False
2015-02-04,51.0,shot,M,B,TX,False,attack,Car,False
2015-02-04,36.0,shot,M,B,TN,False,other,Not fleeing,False
2015-02-05,59.0,shot,M,W,CA,False,other,Car,False
2015-02-06,25.0,shot,M,B,OK,False,attack,Not fleeing,False
2015-02-07,26.0,shot,M,W,CA,False,attack,Not fleeing,False
2015-02-07,74.0,shot,M,B,NC,False,attack,Not fleeing,False
2015-02-08,33.0,shot,M,W,AK,False,attack,Car,False
2015-02-08,27.0,shot,M,W,TX,False,attack,Not fleeing,False
2015-02-08,57.0,shot,M,W,NY,True,attack,Not fleeing,False
2015-02-08,46.0,shot,M,W,FL,False,attack,Not fleeing,False
2015-02-08,41.0,shot,M,W,TX,False,attack,Not fleeing,False
2015-02-09,61.0,shot,M,W,ME,True,attack,Not fleeing,False
2015-02-09,45.0,shot,M,B,TX,False,attack,Not fleeing,False
2015-02-10,49.0,shot,M,B,TN,False,attack,Not fleeing,False
2015-02-10,45.0,shot,M,W,CO,True,attack,Car,False
2015-02-10,35.0,shot and Tasered,M,H,WA,True,other,Foot,False
2015-02-11,23.0,shot,M,B,CA,True,other,Not fleeing,False
2015-02-11,46.0,shot,M,W,AL,True,attack,Foot,True
2015-02-13,23.0,shot,M,W,CA,False,attack,Car,False
2015-02-13,21.0,shot,M,H,KS,False,attack,Car,False
2015-02-13,35.0,shot,M,H,PA,False,other,Not fleeing,False
2015-02-13,27.0,shot,M,W,TN,False,attack,Not fleeing,False
2015-02-13,37.0,shot,M,H,AZ,True,other,Not fleeing,False
2015-02-14,16.0,shot,M,W,MD,True,attack,Car,False
2015-02-14,51.0,shot,M,W,TX,False,attack,Not fleeing,False
2015-02-15,34.0,shot,M,W,MS,False,attack,Foot,False
2015-02-15,34.0,shot,M,W,OR,True,other,Not fleeing,False
2015-02-15,25.0,shot and Tasered,M,B,FL,True,other,Not fleeing,False
2015-02-16,56.0,shot,M,W,AZ,False,attack,Not fleeing,False
2015-02-16,26.0,shot,M,W,ID,False,attack,Not fleeing,False
2015-02-16,24.0,shot,M,W,UT,True,attack,Not fleeing,False
2015-02-17,43.0,shot,F,W,NC,False,attack,Not fleeing,False
2015-02-17,31.0,shot,M,W,MO,False,other,Foot,False
2015-02-17,32.0,shot,M,W,MI,False,attack,Not fleeing,False
2015-02-17,30.0,shot,M,W,MA,False,attack,Foot,False
2015-02-17,50.0,shot,M,H,TX,False,other,Not fleeing,False
2015-02-18,20.0,shot,F,B,NC,True,other,Not fleeing,False
2015-02-20,31.0,shot,M,H,TX,False,other,Not fleeing,False
2015-02-20,38.0,shot,M,B,AL,False,attack,Not fleeing,False
2015-02-20,77.0,shot,M,B,AL,True,attack,Not fleeing,False
2015-02-20,37.0,shot,M,H,TX,False,attack,Car,False
2015-02-21,41.0,shot,M,W,NM,False,attack,Not fleeing,False
2015-02-21,51.0,shot,M,W,IN,False,attack,Not fleeing,False
2015-02-22,50.0,shot,M,W,FL,False,attack,Not fleeing,False
2015-02-23,47.0,shot,M,W,LA,True,attack,Not fleeing,False
2015-02-23,37.0,shot,M,W,GA,False,other,Not fleeing,False
2015-02-23,41.0,shot,M,W,GA,False,attack,Foot,False
2015-02-23,16.0,shot,M,B,AL,False,attack,Not fleeing,False
2015-02-23,42.0,shot and Tasered,M,W,PA,False,attack,Car,False
2015-02-23,39.0,shot and Tasered,M,W,NE,False,other,Not fleeing,False
2015-02-24,30.0,shot and Tasered,M,W,WI,True,attack,Not fleeing,False
2015-02-25,27.0,shot,M,B,OK,False,other,Car,False
2015-02-25,43.0,shot,M,W,NV,True,attack,Not fleeing,False
2015-02-26,42.0,shot,M,H,FL,False,attack,Foot,False
2015-02-26,21.0,shot,M,H,CA,False,other,Not fleeing,False
2015-02-26,49.0,shot,M,W,MS,False,other,Not fleeing,False
2015-02-26,34.0,shot,F,W,GA,False,attack,Car,False
2015-02-26,31.0,shot and Tasered,M,W,IN,False,other,Not fleeing,False
2015-02-27,27.0,shot,M,H,CA,False,other,Not fleeing,False
2015-02-28,24.0,shot,M,W,SC,False,attack,Not fleeing,False
2015-02-28,34.0,shot,M,B,MO,False,other,Car,False
2015-02-28,28.0,shot,F,H,AZ,False,other,Not fleeing,False
2015-02-28,28.0,shot,M,B,MO,False,attack,Car,False
2015-02-28,40.0,shot,M,B,NC,True,attack,Car,False
2015-02-28,37.0,shot,F,W,AZ,False,attack,Car,False
2015-02-28,17.0,shot and Tasered,M,W,MI,False,attack,Not fleeing,True
2015-03-01,35.0,shot,M,A,TX,False,attack,Not fleeing,False
2015-03-01,49.0,shot,M,W,MS,False,attack,Not fleeing,False
2015-03-01,43.0,shot and Tasered,M,B,CA,True,attack,Not fleeing,True
2015-03-02,20.0,shot,M,B,IL,False,other,Foot,False
2015-03-03,25.0,shot,M,B,MD,False,attack,Not fleeing,False
2015-03-03,25.0,shot,M,W,AZ,False,attack,Not fleeing,False
2015-03-04,26.0,shot,M,W,FL,False,other,Not fleeing,False
2015-03-04,28.0,shot,M,A,CA,False,attack,Not fleeing,False
2015-03-05,45.0,shot,M,B,WI,True,other,Not fleeing,False
2015-03-05,36.0,shot,M,H,CA,False,other,Car,False
2015-03-05,34.0,shot,M,W,NE,False,attack,Not fleeing,False
2015-03-06,19.0,shot,M,B,WI,False,attack,Foot,False
2015-03-06,37.0,shot,M,B,CO,False,other,Foot,False
2015-03-06,48.0,shot,M,B,FL,False,other,Not fleeing,False
2015-03-07,29.0,shot,M,W,AZ,False,attack,Not fleeing,False
2015-03-08,43.0,shot,F,B,CA,True,other,Not fleeing,True
2015-03-08,40.0,shot,M,H,OK,False,attack,Not fleeing,False
2015-03-08,35.0,shot,M,W,DE,False,attack,Car,False
2015-03-09,27.0,shot,M,B,GA,True,other,Not fleeing,False
2015-03-09,58.0,shot,M,W,NC,False,attack,Not fleeing,False
2015-03-09,46.0,shot,M,W,CO,False,attack,Not fleeing,False
2015-03-09,30.0,shot,M,B,FL,False,attack,Not fleeing,False
2015-03-10,64.0,shot,M,B,OH,False,attack,Not fleeing,True
2015-03-10,31.0,shot,M,B,LA,False,attack,Not fleeing,False
2015-03-10,23.0,shot,M,W,GA,False,attack,Not fleeing,True
2015-03-10,37.0,shot,M,H,CA,True,other,Car,False
2015-03-11,37.0,shot,M,B,MD,False,other,Not fleeing,False
2015-03-11,31.0,shot,M,W,TN,True,attack,Not fleeing,False
2015-03-11,39.0,shot,M,H,CA,False,attack,Not fleeing,False
2015-03-11,31.0,shot,M,W,AZ,True,attack,Not fleeing,False
2015-03-11,54.0,shot,M,W,AL,False,attack,Not fleeing,False
2015-03-11,53.0,shot,M,W,AL,True,attack,Not fleeing,False
2015-03-11,25.0,shot,M,H,CA,False,other,Not fleeing,False
2015-03-12,35.0,shot,M,B,DC,True,other,Not fleeing,False
2015-03-13,41.0,shot,M,H,CA,False,other,Other,False
2015-03-13,59.0,shot,M,W,MO,False,attack,Not fleeing,False
2015-03-13,36.0,shot,M,W,CA,False,attack,Not fleeing,False
2015-03-13,32.0,shot,M,H,CA,False,other,Foot,False
2015-03-14,53.0,shot,M,W,WV,False,other,Not fleeing,False
2015-03-14,26.0,shot,M,W,WI,False,attack,Car,False
2015-03-14,29.0,shot,M,H,TX,True,attack,Not fleeing,False
2015-03-15,27.0,shot,M,W,MS,False,other,Not fleeing,False
2015-03-16,28.0,shot,M,W,MN,True,attack,Not fleeing,False
